S22	17	17-PERAMBALUR
S22	18	18-CUDDALORE
S22	19	19-NAGAPATTINAM
S22	2	2-CHENNAI
S22	20	20-THIRUVARUR
S22	21	21-THANJAVUR
S22	22	22-PUDUKKOTTAI
S22	23	23-SIVAGANGA
S22	24	24-MADURAI
S22	25	25-THENI
S22	26	26-VIRDHUNAGAR
S22	27	27-RAMANATHAPURAM
S22	28	28-THOOTHUKKUDI
S22	29	29-TIRUNELVELI
S22	3	3-KANCHEEPURAM
S22	30	30-KANNIYAKUMARI
S22	31	31-ARIYALUR
S22	32	32-TIRUPPUR
S22	4	4-VELLORE
S22	5	5-KRISHNAGIRI
S22	6	6-DHARMAPURI
S22	7	7-TIRUVANNAMALAI
S22	8	8-VILLUPURAM
S22	9	9-SALEM
S23	1	1-West Tripura
S23	2	2-Sepahijala
S23	3	3-Khowai
S23	4	4-Gomati
S23	5	5-South Tripura
S23	6	6-Dhalai
S23	7	7-Unakoti
S23	8	8-North Tripura
S24	1	1-Saharanpur
S24	10	10-Mathura
S24	11	11-Firozabad
S24	12	12-Mainpuri
S24	13	13-Etah
S24	14	14-Hathras
S24	15	15-Bareilly
S24	16	16-Budaun
S24	17	17-Shahjahanpur
S24	18	18-Pilibhit
S24	19	19-Moradabad
S24	2	2-Muzaffarnagar
S24	20	20-Rampur
S24	21	21-Bijnor
S24	22	22-Amroha
S24	23	23-Kanpur Nagar
S24	24	24-Kanpur Dehat
S24	25	25-Etawah
S24	26	26-Farrukhabad
S24	27	27-Kannauj
S24	28	28-Auraiya
S24	29	29-Allahabad
S24	3	3-Meerut
S24	30	30-Fatehpur
S24	31	31-Pratapgarh
S24	32	32-Kaushambi
S24	33	33-Jhansi
S24	34	34-Lalitpur
S24	35	35-Jalaun
S24	36	36-Hamirpur
S24	37	37-Mahoba
S24	38	38-Banda
S24	39	39-Chitrakoot
S24	4	4-Ghaziabad
S24	40	40-Varanasi
S24	41	41-Jaunpur
S24	42	42-Ghazipur
S24	43	43-Chandauli
S24	44	44-Mirzapur
S24	45	45-Sonbhadra
S24	46	46-Sant Ravidas Nagar
S24	47	47-Azamgarh
S24	48	48-Mau
S24	49	49-Ballia
S24	5	5-Bulandsahar
S24	50	50-Gorakhpur
S24	51	51-Maharajganj
S24	52	52-Deoria
S24	53	53-Kushinagar
S24	54	54-Basti
S24	55	55-Siddharthnagar
S24	56	56-Sant Kabir Nagar
S24	57	57-Lucknow
S24	58	58-Unnao
S24	59	59-Rae Bareli
S24	6	6-Gautam Buddha Nagar
S24	60	60-Sitapur
S24	61	61-Hardoi
S24	62	62-Kheri
S24	63	63-Gonda
S24	64	64-Baharaich
S24	65	65-Balrampur
S24	66	66-Shrawasti
S24	67	67-Faizabad
S24	68	68-Sultanpur
S24	69	69-Barabanki
S24	7	7-Baghpat
S24	70	70-Ambedkar Nagar
S24	71	71-Kasganj
S24	72	72-Amethi
S24	73	73-Hapur
S24	74	74-Shamli
S24	75	75-Sambhal
S24	8	8-Agra
S24	9	9-Aligarh
S25	1	1-Coochbehar
S25	10	10-South 24-Parganas
S25	11	11-Kolkatta South
S25	12	12-Kolkata North
S25	14	14-Howrah
S25	15	15-Hooghly
S25	16	16-Purbo Medinipur
S25	17	17-Pashchim Medinipur
S25	18	18-Purulia
